# simp: 
# trad: 
# prop: 
# ./table/freq_simp.txt total freq: 0
# ./table/freq_simp.txt total freq: 0
的	300000
一	299999
是	299998
不	299997
了	299996
在	299995
我	299994
人	299993
他	299992
这	299991
有	299990
个	299989
大	299988
上	299987
中	299986
来	299985
地	299984
和	299983
说	299982
为	299981
们	299980
到	299979
你	299978
就	299977
也	299976
以	299975
国	299974
那	299973
要	299972
时	299971
出	299970
着	299969
可	299968
道	299967
之	299966
对	299965
会	299964
自	299963
而	299962
得	299961
下	299960
能	299959
过	299958
生	299957
子	299956
于	299955
年	299954
后	299953
发	299952
都	299951
里	299950
没	299949
还	299948
所	299947
去	299946
看	299945
事	299944
如	299943
用	299942
小	299941
作	299940
多	299939
行	299938
只	299937
好	299936
成	299935
家	299934
天	299933
她	299932
方	299931
然	299930
当	299929
心	299928
起	299927
种	299926
想	299925
经	299924
现	299923
但	299922
法	299921
无	299920
同	299919
么	299918
进	299917
学	299916
面	299915
其	299914
前	299913
已	299912
主	299911
从	299910
动	299909
分	299908
把	299907
开	299906
军	299905
又	299904
两	299903
本	299902
因	299901
定	299900
部	299899
与	299898
将	299897
日	299896
长	299895
理	299894
三	299893
些	299892
实	299891
样	299890
十	299889
意	299888
知	299887
此	299886
第	299885
力	299884
很	299883
正	299882
高	299881
手	299880
什	299879
身	299878
被	299877
它	299876
明	299875
老	299874
者	299873
公	299872
见	299871
机	299870
向	299869
问	299868
最	299867
使	299866
全	299865
点	299864
情	299863
外	299862
民	299861
并	299860
战	299859
关	299858
工	299857
回	299856
等	299855
相	299854
二	299853
重	299852
由	299851
头	299850
声	299849
性	299848
应	299847
间	299846
话	299845
文	299844
给	299843
美	299842
业	299841
物	299840
真	299839
体	299838
或	299837
政	299836
几	299835
内	299834
利	299833
打	299832
走	299831
新	299830
位	299829
西	299828
再	299827
产	299826
加	299825
月	299824
却	299823
先	299822
制	299821
特	299820
果	299819
东	299818
神	299817
儿	299816
才	299815
门	299814
太	299813
合	299812
信	299811
表	299810
原	299809
女	299808
更	299807
己	299806
名	299805
立	299804
比	299803
代	299802
四	299801
斯	299800
任	299799
次	299798
世	299797
便	299796
听	299795
提	299794
做	299793
海	299792
水	299791
教	299790
眼	299789
化	299788
通	299787
感	299786
王	299785
各	299784
口	299783
气	299782
别	299781
少	299780
处	299779
平	299778
常	299777
解	299776
何	299775
接	299774
目	299773
反	299772
变	299771
笑	299770
总	299769
入	299768
认	299767
条	299766
安	299765
金	299764
及	299763
度	299762
让	299761
山	299760
马	299759
受	299758
活	299757
结	299756
数	299755
直	299754
必	299753
白	299752
