32431	𲐱	[亻千目,,CJK-J]
32432	𲐲	[亻广人,,CJK-J]
32433	𲐳	[亻母子,,CJK-J]
32434	𲐴	[亻𠂇工⺝,,CJK-J]
32435	𲐵	[亻石又又,,CJK-J]
32436	𲐶	[亻犬甲,,CJK-J]
32437	𲐷	[亻日立,,CJK-J]
32438	𲐸	[亻田⺝,,CJK-J]
32439	𲐹	[亻山西,,CJK-J]
3243a	𲐺	[亻亼口廾,,CJK-J]
3243b	𲐻	[亻⺈冂八大,,CJK-J]
3243c	𲐼	[亻乃亻日一,,CJK-J]
3243d	𲐽	[亻冖二儿寸,,CJK-J]
3243e	𲐾	[亻⺷大,,CJK-J]
3243f	𲐿	[亻广廿又,,CJK-J]
32440	𲑀	[亻力口木,,CJK-J]
32441	𲑁	[亻戈口㇀𰀪,,CJK-J]
32441	𲑁	[亻弋口㇀彡,,CJK-J]
32442	𲑂	[亻戸衣,,CJK-J]
32443	𲑃	[亻丨夂一生,,CJK-J]
32444	𲑄	[亻日一一止,,CJK-J]
32445	𲑅	[亠人人人人十,,CJK-J]
32446	𲑆	[亻䒑大灬,,CJK-J]
32447	𲑇	[亻土,,CJK-J]
32448	𲑈	[亻臣又土,,CJK-J]
32449	𲑉	[十冖子亻一大,,CJK-J]
3244a	𲑊	[亻⺊冎口,,CJK-J]
3244b	𲑋	[亻巾,,CJK-J]
3244c	𲑌	[亻⺧口辶,,CJK-J]
3244d	𲑍	[亻立口不阝,,CJK-J]
3244e	𲑎	[亻可宀牛,,CJK-J]
3244f	𲑏	[人人人人人人人,,CJK-J]
32450	𲑐	[亻弓一白弓,,CJK-J]
32451	𲑑	[亻阝夂一生,,CJK-J]
32452	𲑒	[亻田一,,CJK-J]
32453	𲑓	[亻⻗田,,CJK-J]
32454	𲑔	[亻廿口龶力,,CJK-J]
32455	𲑕	[亻罒土,,CJK-J]
32456	𲑖	[亻衣冂八口,,CJK-J]
32457	𲑗	[亻䒑辶,,CJK-J]
32458	𲑘	[亻口吅人小,,CJK-J]
32459	𲑙	[亻亠田木𧘇,,CJK-J]
3245a	𲑚	[亻立口大弓,,CJK-J]
3245b	𲑛	[亻尸口女,,CJK-J]
3245c	𲑜	[亻革土土,,CJK-J]
3245d	𲑝	[亻艹耂日力,,CJK-J]
3245e	𲑞	[亻貝戈戈,,CJK-J]
3245f	𲑟	[亻宀日耳又,,CJK-J]
32460	𲑠	[亻豕殳,,CJK-J]
32461	𲑡	[亻广里八土,,CJK-J]
32462	𲑢	[亼口䒑廾䒑廾,,CJK-J]
32463	𲑣	[十目㇀亻丨矢,,CJK-J]
32464	𲑤	[亻艹虫貝,,CJK-J]
32465	𲑥	[亻釒白巾,,CJK-J]
32466	𲑦	[亻覀囗戈口一,,CJK-J]
32467	𲑧	[亻山厂ヿ耳攵,,CJK-J]
32468	𲑨	[亻氏丶亼囗⺌日,,CJK-J]
32469	𲑩	[龶貝亻户𠕁,,CJK-J]
3246a	𲑪	[亻⻗口吅工人人,,CJK-J]
3246b	𲑫	[亻立口广亻隹心,,CJK-J]
3246c	𲑬	[光入,,CJK-J]
3246d	𲑭	[光口丨,,CJK-J]
3246e	𲑮	[儿冫八刀,,CJK-J]
3246f	𲑯	[光口力,,CJK-J]
32470	𲑰	[一儿士口,,CJK-J]
32471	𲑱	[光豸,,CJK-J]
32472	𲑲	[光日曰,,CJK-J]
32473	𲑳	[光,,CJK-J]
32474	𲑴	[光丷豕,,CJK-J]
32475	𲑵	[光阝人禾,,CJK-J]
32476	𲑶	[敖儿,,CJK-J]
32477	𲑷	[光丷囗⺌日,,CJK-J]
32478	𲑸	[⺧儿戊𠃌母,,CJK-J]
32479	𲑹	[臼儿土土土一儿,,CJK-J]
3247a	𲑺	[一大口入,,CJK-J]
3247b	𲑻	[入匕車,,CJK-J]
3247c	𲑼	[禾火人王,,CJK-J]
3247d	𲑽	[入鹿土,,CJK-J]
3247e	𲑾	[丷了,,CJK-J]
3247f	𲑿	[力口八,,CJK-J]
32480	𲒀	[亽龴,,CJK-J]
32481	𲒁	[米女六,,CJK-J]
32482	𲒂	[木土目,,CJK-J]
32483	𲒃	[⺶丶飠爫女,,CJK-J]
32484	𲒄	[冂人人人,,CJK-J]
32485	𲒅	[冂亼口,,CJK-J]
32486	𲒆	[冂日,,CJK-J]
32487	𲒇	[冖八,,CJK-J]
32488	𲒈	[冖支,,CJK-J]
32489	𲒉	[冖龰,,CJK-J]
3248a	𲒊	[冖八儿,,CJK-J]
3248b	𲒋	[冫夕,,CJK-J]
3248c	𲒌	[冫甘,,CJK-J]
3248d	𲒍	[冫丿未,,CJK-J]
3248e	𲒎	[冫龶夂,,CJK-J]
3248f	𲒏	[冫𣄼,,CJK-J]
32490	𲒐	[冫足,,CJK-J]
32491	𲒑	[冫亽乛口,,CJK-J]
32492	𲒒	[冫人,,CJK-J]
32493	𲒓	[冫䒑大刂,,CJK-J]
32494	𲒔	[冫⺷大,,CJK-J]
32495	𲒕	[冫巛歹刂,,CJK-J]
32496	𲒖	[冫亽龴尸匕,,CJK-J]
32497	𲒗	[冫覀示,,CJK-J]
32498	𲒘	[冫田糸,,CJK-J]
32499	𲒙	[冫隹,,CJK-J]
3249a	𲒚	[冫言侖,,CJK-J]
3249b	𲒛	[宀井⺀歹刂,,CJK-J]
3249c	𲒜	[冫亽龴羊䒑口,,CJK-J]
3249d	𲒝	[冫亠囗口示夕夕,,CJK-J]
3249e	𲒞	[⺇丨,,CJK-J]
3249f	𲒟	[丨几米厶厶厶人彡,,CJK-J]
324a0	𲒠	[巴屮凵,,CJK-J]
324a1	𲒡	[乂凵丿扌戈,,CJK-J]
324a2	𲒢	[屮凵羽隹,,CJK-J]
324a3	𲒣	[屮凵罒糸隹,,CJK-J]
324a4	𲒤	[止刂,,CJK-J]
324a5	𲒥	[甲刂,,CJK-J]
324a6	𲒦	[丿冂口刂,,CJK-J]
324a7	𲒧	[米刀,,CJK-J]
324a8	𲒨	[束刀,,CJK-J]
324a9	𲒩	[刀扌斤,,CJK-J]
324aa	𲒪	[扌斤刀,,CJK-J]
324ab	𲒫	[山亽乛刂,,CJK-J]
324ac	𲒬	[齿刂,,CJK-J]
324ad	𲒭	[禾刂,,CJK-J]
324ae	𲒮	[忄日㇀刀,,CJK-J]
324af	𲒯	[口吅刂,,CJK-J]
324b0	𲒰	[禾刂八刀,,CJK-J]
324b1	𲒱	[月厶口刀,,CJK-J]
324b2	𲒲	[穴乍刂,,CJK-J]
324b3	𲒳	[虍夂几刂,,CJK-J]
324b4	𲒴	[水水水刂,,CJK-J]
324b5	𲒵	[冂䒑山刂一止,,CJK-J]
324b6	𲒶	[⻗田刂,,CJK-J]
324b7	𲒷	[⺧儿䒑⺝刂,,CJK-J]
324b8	𲒸	[亠乂凵禸八刀,,CJK-J]
324b9	𲒹	[氵〢皿刂,,CJK-J]
324ba	𲒺	[𣄼㇀冂䒑山刂,,CJK-J]
324bb	𲒻	[艹禾匕刂,,CJK-J]
324bc	𲒼	[⺮月月刂,,CJK-J]
324bd	𲒽	[釒⺌⺝刂,,CJK-J]
324be	𲒾	[僉刀刀,,CJK-J]
324bf	𲒿	[魚日刂,,CJK-J]
324c0	𲓀	[艹大丷日小刂,,CJK-J]
324c1	𲓁	[冂䒑山刂扌辰,,CJK-J]
324c2	𲓂	[止匕力,,CJK-J]
324c3	𲓃	[亼口力,,CJK-J]
324c4	𲓄	[工人人力,,CJK-J]
324c5	𲓅	[日曰力,,CJK-J]
324c6	𲓆	[罒女力,,CJK-J]
324c7	𲓇	[一业日力,,CJK-J]
324c8	𲓈	[且力𠂉也,,CJK-J]
324c9	𲓉	[未丷攵力,,CJK-J]
324ca	𲓊	[力𠂉母攵,,CJK-J]
324cb	𲓋	[丿龱八夂力,,CJK-J]
324cc	𲓌	[乃目力,,CJK-J]
324cd	𲓍	[土丸且力,,CJK-J]
324ce	𲓎	[艹冖力辰寸,,CJK-J]
324cf	𲓏	[⺧儿⺧儿貝力,,CJK-J]
324d0	𲓐	[⺮虍田皿力,,CJK-J]
324d1	𲓑	[勹舌,,CJK-J]
324d2	𲓒	[勹𰀪一止,,CJK-J]
324d3	𲓓	[勹丶⺝,,CJK-J]
324d4	𲓔	[氵耂日勹𰀪,,CJK-J]
324d5	𲓕	[勹𰀪亼囗⺌日,,CJK-J]
324d6	𲓖	[勹𰀪爫冖心夂,,CJK-J]
324d7	𲓗	[勹𰀪艹耂日,,CJK-J]
324d8	𲓘	[宀甘木勹巳,,CJK-J]
324d9	𲓙	[亼囗⺌日勹巳,,CJK-J]
324da	𲓚	[丿匚儿,,CJK-J]
324db	𲓛	[匚王侖,,CJK-J]
324dc	𲓜	[十冂,,CJK-J]
324dd	𲓝	[十八,,CJK-J]
324de	𲓞	[乂十,,CJK-J]
324df	𲓟	[卅儿,,CJK-J]
324e0	𲓠	[十六,,CJK-J]
324e1	𲓡	[八刀,,CJK-J]
324e2	𲓢	[八刀千,,CJK-J]
324e3	𲓣	[⺊一卜千,,CJK-J]
324e4	𲓤	[十土土,,CJK-J]
324e5	𲓥	[冫匚コ十,,CJK-J]
324e6	𲓦	[十冖亽龴,,CJK-J]
324e7	𲓧	[卌卌,,CJK-J]
324e8	𲓨	[⺝十,,CJK-J]
324e9	𲓩	[土里十,,CJK-J]
324ea	𲓪	[土隹十,,CJK-J]
324eb	𲓫	[十冂米夕㐄,,CJK-J]
324ec	𲓬	[⺊艮,,CJK-J]
324ed	𲓭	[十日十卜,,CJK-J]
324ee	𲓮	[⺊口宀匕,,CJK-J]
324ef	𲓯	[十冂臣卜,,CJK-J]
324f0	𲓰	[土土卜鬼,,CJK-J]
324f1	𲓱	[丁卩,,CJK-J]
324f2	𲓲	[一大卩,,CJK-J]
324f3	𲓳	[冂人ㄗ,,CJK-J]
324f4	𲓴	[古ㄗ,,CJK-J]
324f5	𲓵	[白ㄗ,,CJK-J]
324f6	𲓶	[力口ㄗ,,CJK-J]
324f7	𲓷	[千止卩,,CJK-J]
324f8	𲓸	[氵丶王ㄗ,,CJK-J]
324f9	𲓹	[人禾又ㄗ,,CJK-J]
324fa	𲓺	[厂自,,CJK-J]
324fb	𲓻	[厂龷,,CJK-J]
324fc	𲓼	[厂亻丶王,,CJK-J]
324fd	𲓽	[厂子子子,,CJK-J]
324fe	𲓾	[一口厂止,,CJK-J]
324ff	𲓿	[厶口厂日子,,CJK-J]
32500	𲔀	[厂亻亻鳥,,CJK-J]
32501	𲔁	[厂𠂇⺝𠂇⺝𠂇⺝𠂇⺝𠂇⺝𠂇⺝𠂇⺝𠂇⺝𠂇⺝,,CJK-J]
32502	𲔂	[厶厶厶人二,,CJK-J]
32503	𲔃	[厶⺶日曰,,CJK-J]
32504	𲔄	[土厶䒑自辶,,CJK-J]
32505	𲔅	[丿皿又,,CJK-J]
32506	𲔆	[讠仑又,,CJK-J]
32507	𲔇	[又又又且,,CJK-J]
32508	𲔈	[〢厂又,,CJK-J]
32509	𲔉	[爫冖又ヿ土,,CJK-J]
3250a	𲔊	[阝且厂又,,CJK-J]
3250b	𲔋	[厂又耂日,,CJK-J]
3250c	𲔌	[又又車人彡,,CJK-J]
3250d	𲔍	[口勹,,CJK-J]
